City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,hinton,53.4001,-117.5857,-4.29,98,85,3.09,CA,1678633438
149,kargopol,61.5071,38.9456,32.25,100,100,4.59,RU,1678633438
150,aklavik,68.2191,-135.0107,-6.47,94,100,6.38,CA,1678633439
151,guozhen,34.3659,107.359,43.86,24,12,1.52,CN,1678633439
152,naze,28.3667,129.4833,62.74,68,69,5.41,JP,1678633439
153,dongli,23.5656,116.8194,66.78,72,96,17.13,CN,1678633439
154,ouagadougou,12.3642,-1.5383,102.24,11,100,12.12,BF,1678633439
155,hamilton,39.1834,-84.5333,35.89,89,100,13.8,US,1678633372
156,nemuro,43.3236,145.575,34.75,93,100,15.03,JP,1678633439
157,guymon,36.6828,-101.4816,41.0,48,100,19.57,US,1678633439
158,chuy,-33.6971,-53.4616,86.81,49,6,10.18,UY,1678633439
159,paarl,-33.7338,18.9752,76.01,26,0,5.88,ZA,1678633295
160,constitucion,-35.3333,-72.4167,68.0,62,10,6.08,CL,1678633385
161,henties bay,-22.116,14.2845,66.11,76,12,12.46,,1678633439
162,atar,20.5169,-13.0499,99.37,5,0,9.6,MR,1678633440
163,narsaq,60.9167,-46.05,30.42,61,15,6.31,GL,1678633440
164,nelson bay,-32.7167,152.15,73.99,89,52,10.0,AU,1678633440
165,touros,-5.1989,-35.4608,86.07,64,97,13.94,BR,1678633440
166,barceloneta,18.4505,-66.5385,85.35,66,57,5.66,PR,1678633440
167,benghazi,32.1167,20.0667,64.87,76,1,19.89,LY,1678633226
168,xinzhou,38.4092,112.7333,36.73,20,0,7.02,CN,1678633440
169,bredasdorp,-34.5322,20.0403,70.92,55,0,14.65,ZA,1678633440
170,barrow,71.2906,-156.7887,-18.38,76,0,13.8,US,1678633440
171,hoquiam,46.9809,-123.8893,42.01,95,100,9.22,US,1678633440
172,saint-philippe,-21.3585,55.7679,80.19,76,100,10.8,RE,1678633441
173,nome,64.5011,-165.4064,-2.13,65,0,5.75,US,1678633441
174,vangaindrano,-23.35,47.6,75.81,81,0,4.92,MG,1678633441
175,port-cartier,50.0334,-66.8654,31.24,75,15,2.91,CA,1678633441
176,namtsy,62.7161,129.6658,-15.83,100,88,3.8,RU,1678633441
177,impfondo,1.6381,18.0667,90.05,43,100,2.48,CG,1678633441
178,itigi,-5.7,34.4833,69.98,88,100,2.51,TZ,1678633441
179,sitka,57.0531,-135.33,28.29,34,0,9.22,US,1678633441
180,dauphin,51.1494,-100.0502,7.41,97,99,6.11,CA,1678633414
181,puerto escondido,15.85,-97.0667,81.43,83,0,0.0,MX,1678633441
182,lagoa,39.05,-27.9833,58.21,74,5,38.56,PT,1678633442
183,hambantota,6.1241,81.1185,80.24,77,27,18.05,LK,1678633360
184,lydenburg,-25.0978,30.4597,66.07,78,10,10.13,ZA,1678633442
185,te anau,-45.4167,167.7167,48.11,93,94,5.93,NZ,1678633442
186,morgan hill,37.1305,-121.6544,56.19,90,100,3.44,US,1678633306
187,evensk,61.95,159.2333,4.98,91,100,2.64,RU,1678633442
188,port macquarie,-31.4333,152.9167,68.9,89,57,8.41,AU,1678633442
189,port hardy,50.6996,-127.4199,37.58,100,100,5.75,CA,1678633442
190,dikson,73.5069,80.5464,-16.2,97,100,15.21,RU,1678633439
191,lorengau,-2.0226,147.2712,80.78,76,98,1.41,PG,1678633442
192,matagami,49.7502,-77.6328,12.63,89,100,5.21,CA,1678633443
193,cochrane,51.1834,-114.4687,2.62,72,100,5.75,CA,1678633368
194,north bend,43.4065,-124.2243,50.07,95,100,11.5,US,1678633443
195,inongo,-1.95,18.2667,78.8,78,99,8.14,CD,1678633443
196,vardo,70.3705,31.1107,17.58,86,100,10.36,NO,1678633443
197,haines junction,60.7522,-137.5108,-27.96,100,97,1.3,CA,1678633443
198,marzuq,14.4,46.4667,73.29,59,25,14.07,YE,1678633443
199,eureka,40.8021,-124.1637,52.2,94,100,4.0,US,1678633223
200,yako,12.9667,-2.2667,100.9,14,100,8.16,BF,1678633443
201,pierre,44.3683,-100.351,19.85,74,100,29.93,US,1678633443
202,manado,1.487,124.8455,79.57,94,40,2.3,ID,1678633443
203,danielskuil,-28.1887,23.5395,86.77,6,0,14.09,ZA,1678633443
204,severo-kurilsk,50.6789,156.125,31.71,93,99,8.19,RU,1678633444
205,grand-lahou,5.1367,-5.0242,84.81,66,95,8.63,CI,1678633444
206,yumen,40.2833,97.2,46.83,20,40,10.11,CN,1678633289
207,poso,-1.3959,120.7524,76.51,91,100,3.96,ID,1678633444
208,poum,-20.2333,164.0167,79.11,68,60,15.17,NC,1678633444
209,kindu,-2.95,25.95,85.03,50,74,2.66,CD,1678633332
210,mao,39.8885,4.2658,66.76,63,20,8.05,ES,1678633444
211,tucuman,-26.8241,-65.2226,95.04,31,75,1.92,AR,1678633363
212,pevek,69.7008,170.3133,-4.0,78,100,7.0,RU,1678633444
213,sillod,20.3,75.65,83.3,22,55,4.52,IN,1678633441
214,aykhal,66.0,111.5,6.53,93,100,11.25,RU,1678633445
215,bambey,14.6955,-16.4493,106.09,5,0,8.66,SN,1678633445
216,east london,-33.0153,27.9116,71.64,65,97,16.51,ZA,1678633226
217,naron,43.5167,-8.1528,68.02,71,100,14.5,ES,1678633210
218,alekseyevka,50.6309,38.6903,38.64,76,98,18.21,RU,1678633297
219,hobart,-42.8794,147.3294,55.26,73,100,4.61,AU,1678633445
220,norman wells,65.282,-126.8329,-7.85,92,69,5.93,CA,1678633445
221,sao filipe,14.8961,-24.4956,78.1,59,1,8.66,CV,1678633445
222,corn island,12.1694,-83.0418,78.33,76,99,8.01,NI,1678633445
223,nogliki,51.8333,143.1667,28.36,97,100,13.58,RU,1678633445
224,sobolevo,54.4299,31.8996,28.09,83,100,10.92,RU,1678633445
225,knysna,-34.0363,23.0471,71.85,65,1,12.33,ZA,1678633445
226,airai,-8.9266,125.4092,59.58,95,94,0.74,TL,1678633446
227,visby,57.6409,18.296,35.06,47,0,14.97,SE,1678633408
228,san antonio,29.4241,-98.4936,72.52,52,0,14.97,US,1678633382
229,georgetown,5.4112,100.3354,84.13,79,20,0.0,MY,1678633335
230,port blair,11.6667,92.75,80.82,68,99,1.61,IN,1678633446
231,whitehorse,60.7161,-135.0538,-16.19,51,81,1.21,CA,1678633363
232,basco,20.4487,121.9702,73.69,69,3,20.45,PH,1678633446
233,dayong,25.0209,118.2898,60.71,85,100,6.2,CN,1678633446
234,shelton,41.3165,-73.0932,45.64,54,0,9.22,US,1678633446
235,tomatlan,19.9333,-105.25,73.63,56,5,0.94,MX,1678633446
236,padang,-0.9492,100.3543,79.43,85,100,3.6,ID,1678633446
237,leningradskiy,69.3833,178.4167,-14.48,75,18,6.49,RU,1678633263
238,chapada dos guimaraes,-15.4606,-55.7497,74.86,77,100,6.55,BR,1678633446
239,svetlaya,46.5389,138.3297,32.23,98,100,10.74,RU,1678633446
240,iquique,-20.2208,-70.1431,77.04,70,1,6.98,CL,1678633447
241,severodvinsk,64.5635,39.8302,26.71,98,100,9.1,RU,1678633447
242,chokurdakh,70.6333,147.9167,-11.56,90,100,3.62,RU,1678633447
243,dwarka,22.2394,68.9678,78.93,53,100,10.87,IN,1678633447
244,taiping,4.85,100.7333,74.88,96,25,2.06,MY,1678633447
245,isangel,-19.55,169.2667,76.28,85,7,5.73,VU,1678633447
246,glencoe,-28.1783,30.147,62.83,85,96,5.35,ZA,1678633447
247,dahra,36.2546,0.8519,69.33,48,17,3.98,DZ,1678633447
248,tessalit,20.1986,1.0114,99.68,6,28,5.23,ML,1678633447
249,kigoma,-4.8769,29.6267,76.33,72,100,1.97,TZ,1678633206
250,khash,28.2211,61.2158,67.59,33,28,14.23,IR,1678633448
251,lowestoft,52.4752,1.7516,56.44,73,100,18.45,GB,1678633448
252,vila velha,-20.3297,-40.2925,87.75,71,40,9.22,BR,1678633448
253,codrington,-38.2667,141.9667,54.72,88,16,6.76,AU,1678633448
254,lompoc,34.6391,-120.4579,57.92,88,100,0.0,US,1678633448
255,cabo san lucas,22.8909,-109.9124,75.51,43,0,2.3,MX,1678633448
256,seydi,39.4816,62.9137,63.25,29,0,7.67,TM,1678633448
257,ipil,7.75,122.5167,74.57,85,54,8.7,PH,1678633448
258,vagur,61.4732,-6.8119,33.64,66,100,18.99,FO,1678633448
259,nador,35.174,-2.9287,71.85,46,0,3.44,MA,1678633448
260,saskylakh,71.9167,114.0833,5.95,89,100,18.86,RU,1678633449
261,atlantic city,39.3643,-74.4229,42.19,70,0,5.01,US,1678633449
262,iqaluit,63.7506,-68.5145,-4.27,77,75,2.3,CA,1678633449
263,lodwar,3.1191,35.5973,94.89,28,100,19.44,KE,1678633449
264,bengkulu,-3.8004,102.2655,76.48,90,100,3.44,ID,1678633449
265,beringovskiy,63.05,179.3167,-16.42,92,29,4.94,RU,1678633449
266,teguldet,57.3064,88.1667,18.03,89,100,12.35,RU,1678633449
267,high level,58.5169,-117.136,-6.88,98,100,2.86,CA,1678633449
268,athenry,53.2964,-8.7431,52.41,93,100,10.85,IE,1678633405
269,madras,13.0878,80.2785,82.38,78,20,9.22,IN,1678633204
270,roald,62.5833,6.1333,34.9,51,0,14.97,NO,1678633450
271,hualmay,-11.0964,-77.6139,78.55,71,80,7.09,PE,1678633450
272,ucluelet,48.9329,-125.5528,42.1,83,100,10.22,CA,1678633450
273,gravdal,68.1214,13.5031,30.09,80,40,2.3,NO,1678633450
274,angoche,-16.2325,39.9086,80.15,74,100,11.65,MZ,1678633450
275,ketchikan,55.3422,-131.6461,33.78,68,20,0.0,US,1678633450
276,wanning,18.8003,110.3967,68.9,84,94,7.65,CN,1678633450
277,yarmouth,41.7057,-70.2286,41.05,80,100,21.0,US,1678633450
278,yeppoon,-23.1333,150.7333,78.58,90,6,4.7,AU,1678633450
279,dezhou,37.4486,116.2925,43.56,16,0,13.22,CN,1678633225
280,mayo,38.8876,-76.5119,40.44,71,0,5.75,US,1678633450
281,araouane,18.9048,-3.5265,102.43,7,52,10.47,ML,1678633450
282,amuntai,-2.4177,115.2494,73.56,99,100,3.22,ID,1678633290
283,husavik,66.0449,-17.3389,18.5,67,100,14.0,IS,1678633414
284,cherskiy,68.75,161.3,1.63,75,100,7.63,RU,1678633451
285,komsomolskiy,40.4272,71.7189,54.32,82,75,6.91,UZ,1678633451
286,ilhabela,-23.7781,-45.3581,74.8,92,100,4.27,BR,1678633451
287,guiratinga,-16.3494,-53.7583,71.1,91,100,6.06,BR,1678633451
288,maceio,-9.6658,-35.7353,89.04,58,75,13.8,BR,1678633281
289,tuktoyaktuk,69.4541,-133.0374,-1.01,98,100,7.49,CA,1678633451
290,vallenar,-28.5708,-70.7581,76.48,46,0,4.74,CL,1678633451
291,grindavik,63.8424,-22.4338,21.67,45,20,19.57,IS,1678633451
292,baft,29.234,56.6057,57.25,30,1,6.53,IR,1678633451
293,kruisfontein,-34.0033,24.7314,72.88,60,59,20.45,ZA,1678633271
294,simbahan,6.3032,120.5836,80.64,75,84,17.87,PH,1678633452
295,clifton,40.8584,-74.1638,43.99,54,0,4.61,US,1678633452
296,akoupe,6.39,-3.9003,96.84,30,94,3.42,CI,1678633452
297,zaraza,9.3503,-65.3245,91.0,36,72,8.03,VE,1678633452
298,anjozorobe,-18.4,47.8667,64.98,91,88,6.24,MG,1678633452
299,ardakan,32.31,54.0175,71.85,20,7,7.87,IR,1678633452
300,jos,9.9167,8.9,88.2,5,60,8.3,NG,1678633452
301,kavieng,-2.5744,150.7967,81.82,74,85,2.91,PG,1678633452
302,mange,8.9167,-12.85,97.47,31,88,10.4,SL,1678633453
303,noyabrsk,63.1994,75.4507,15.35,85,71,17.56,RU,1678633211
304,gamba,-2.65,10.0,78.42,79,100,4.07,GA,1678633453
305,hervey bay,-25.2986,152.8535,78.96,84,34,8.72,AU,1678633376
306,kasempa,-13.4584,25.8338,76.32,70,87,2.86,ZM,1678633453
307,jiazi,22.8779,116.067,68.77,74,89,20.09,CN,1678633453
308,san quintin,30.4833,-115.95,59.14,94,99,9.17,MX,1678633453
309,maragogi,-9.0122,-35.2225,85.68,64,43,10.98,BR,1678633453
310,prestea,5.4327,-2.1428,89.98,52,100,5.79,GH,1678633453
311,lund,55.7058,13.1932,39.51,55,100,10.13,SE,1678633453
312,meiganga,6.5167,14.3,93.9,8,83,6.38,CM,1678633453
313,bordighera,43.7806,7.6645,72.34,72,1,8.19,IT,1678633454
314,kutum,14.2,24.6667,82.67,9,53,8.25,SD,1678633454
315,chapais,49.7834,-74.8492,18.66,88,100,2.75,CA,1678633454
316,thompson,55.7435,-97.8558,2.75,99,100,1.88,CA,1678633454
317,lata,40.1629,-8.3327,72.48,54,98,6.38,PT,1678633454
318,savinka,50.0785,47.0994,52.65,61,100,18.25,RU,1678633454
319,puerto carreno,6.189,-67.4859,85.21,58,100,5.12,CO,1678633454
320,marienburg,54.0359,19.0266,37.89,71,14,10.04,PL,1678633420
